model,params_M,size_MB,mAP50,mAP75,mAP50_95,precision,recall,train_min,inf_ms
YOLOv8n,3.011,5.96,0.9312,0,0.6758,0.8341,0.8873,96.2,29.52
YOLO11n,2.59,5.22,0.9275,0,0.6672,0.8213,0.907,110.1,28.92
YOLO26n,2.568,5.26,0.934,0,0.6724,0.82,0.9095,172.9,27.53
