model,params_M,size_MB,mAP50,mAP75,mAP50_95,precision,recall,train_min,inf_ms
YOLOv8n,3.011,5.94,0.9041,0,0.6422,0.8853,0.8356,43.2,28.72
YOLO11n,2.59,5.2,0.8924,0,0.6269,0.8383,0.8418,46.1,37.3
YOLO26n,2.568,5.24,0.8999,0,0.6254,0.8577,0.8234,66.0,34.7
