model,params_M,size_MB,mAP50,mAP75,mAP50_95,precision,recall,train_min,inf_ms
YOLOv8n,3.011,5.96,0.9784,0,0.8192,0.9418,0.9457,56.9,30.32
YOLO11n,2.59,5.22,0.9778,0,0.8093,0.9508,0.919,65.3,33.31
YOLO26n,2.568,5.26,0.9718,0,0.8127,0.9406,0.9363,97.0,37.3
