model,params_M,size_MB,mAP50,mAP75,mAP50_95,precision,recall,train_min,inf_ms
YOLOv8n,3.011,5.94,0.6964,0,0.5626,0.7523,0.6364,3.1,22.14
YOLO11n,2.59,5.19,0.6887,0,0.4799,0.8747,0.635,2.8,32.11
YOLO26n,2.568,5.24,0.6537,0,0.4747,0.8535,0.5455,5.4,31.32
