model,params_M,size_MB,mAP50,mAP75,mAP50_95,precision,recall,train_min,inf_ms
YOLOv8n,3.011,5.94,0.995,0,0.8955,0.0058,1,0.9,19.55
YOLO11n,2.59,5.19,0.995,0,0.796,0.0058,1,0.7,30.52
YOLO26n,2.568,5.24,0.995,0,0.8955,0.0064,1,1.2,25.33
