model,params_M,size_MB,mAP50,mAP75,mAP50_95,precision,recall,train_min,inf_ms
YOLOv8n,3.011,5.94,0.9169,0,0.7942,0.9567,0.8986,49.3,32.11
YOLO11n,2.59,5.2,0.9166,0,0.7775,0.9647,0.9038,55.5,34.0
YOLO26n,2.568,5.24,0.916,0,0.7843,0.9708,0.8998,81.9,36.9
